題目_ID,題目,標準答案,來源文件
1,文中提到台中市2月2日當天的氣溫變化範圍為何？,台中市2月2日當天，凌晨氣溫約攝氏16度左右，白天最高溫預計攀升至23度左右。,"['data_01.txt', 'data_02.txt', 'data_03.txt']"
2,Google Cloud 推出的 N4A 虛擬機器採用哪一款處理器？,Google Cloud 推出的 N4A 虛擬機器採用 Axion 處理器。,"['data_04.txt', 'data_04.txt', 'data_04.txt']"
3,根據林氏璧的指出，日本這波流感主要流行哪兩種病毒型別？其占比為何？,根據林氏璧的指出，日本這波流感主要流行 A 型 H3 和 B 型病毒，其中 A 型 H3 佔 74%，B 型佔 26%。,"['data_03.txt', 'data_03.txt', 'data_03.txt']"
4,LiteRT 的 GPU 加速效能平均比原本的 TensorFlow Lite GPU 委派快多少？,LiteRT 的 GPU 加速效能平均約比既有的 TensorFlow Lite GPU 委派快 1.4 倍。,"['data_05.txt', 'data_05.txt', 'data_05.txt']"
5,台灣南部與北部的降雨特徵有何主要差異？,"台灣南部呈現夏雨冬乾的特徵，雨季集中在 5 月至 9 月，10 月至翌年 4 月則為乾季，年雨量約 1,500 至 2,000 公厘。而北部全年有雨，年雨量可達 2,000 至 2,500 公厘。簡單來說，南部雨季明顯，北部則降雨較為均勻。","['data_02.txt', 'data_02.txt', 'data_02.txt']"
6,Google Cloud 的 N4A 虛擬機器在今年1月底擴增的區域中，包含哪一個亞洲地區？,Google Cloud 的 N4A 虛擬機器在今年1月底擴增的區域中，包含亞洲的 新加坡 (asia-southeast1)。,"['data_04.txt', 'data_04.txt', 'data_04.txt']"
7,LiteRT 目前支援哪些平台的 GPU 加速？,LiteRT 的 GPU 加速支援範圍涵蓋 Android、iOS、macOS、Windows、Linux 與 Web。在 Android 裝置上，LiteRT 會優先採用 OpenCL，必要時退回 OpenGL。其他平台則改以各自的 GPU 後端，例如 macOS 使用 Metal，Windows 與 Linux 使用 WebGPU。,"['data_05.txt', 'data_05.txt', 'data_05.txt']"
8,根據日本流感疫情報告，東京目前比較流行的區域有哪些？,根據日本流感疫情報告，東京目前比較流行的區域包括八王子市、町田市、中野區、豐島區、北區、荒川區、江東區。,"['data_03.txt', 'data_03.txt', 'data_03.txt']"
9,針對台中市2月2日的天氣，文中建議民眾該如何穿著？,針對台中市2月2日的天氣，文中建議外出時穿著輕薄的長袖衣物，並隨身攜帶一件薄外套，以應對早晚溫差。,"['data_01.txt', 'data_01.txt', 'data_03.txt']"
10,台灣冬季東北部迎風面多雨，形成「竹風蘭雨」的特色，主要是受到什麼風的影響？,台灣冬季東北部迎風面多雨，形成「竹風蘭雨」的特色，主要是受到東北季風的影響。,"['data_02.txt', 'data_02.txt', 'data_02.txt']"
